number,ID,year,month,day,time,Temp,Rain,CloudCover,generation,opticalflow
1,10000268,1,3,14,13.5,3,0,4,819.47,1009.49659145
1,10000268,1,3,14,14,3.1,0,4,638.3508,785.936905404
1,10000268,1,3,14,14.5,3.1,0,4,595.9758,568.611896676
1,10000268,1,3,14,15,2.7,0,4,273.3276,353.285494472
1,10000268,1,3,14,15.5,2.7,0,4,201.0116,170.092340984
1,10000268,1,3,14,16,2.7,0,4,133.6268,97.947116904
1,10000268,1,3,14,16.5,2.7,0,4,117.6448,74.882715648
1,10000268,1,3,14,17,2.3,0,4,73,48.13748699
1,10000268,1,3,17,6.5,1.5,0,11,149.76,150.33985408
1,10000268,1,3,17,7,1.9,0,11,255.1724,417.975624612
1,10000268,1,3,17,7.5,1.9,0,11,410.319,393.734270748
1,10000268,1,3,17,8,3.4,0,11,470.86,862.687423944
1,10000268,1,3,17,8.5,3.4,0,11,595.581,612.16464603
1,10000268,1,3,17,9,4.6,0,2,979.5258,674.518665568
1,10000268,1,3,17,9.5,4.6,0,2,1118.6934,998.291016448
1,10000268,1,3,17,10,5.3,0,2,1575.4486,1183.2983899
1,10000268,1,3,17,10.5,5.3,0,2,1595.96,1668.196961128
1,10000268,1,3,17,11,6,0,2,1805.7162,1546.863970998
1,10000268,1,3,17,11.5,6,0,2,1741.825,1463.27304995
1,10000268,1,3,17,12,6.6,0,2,1783.34,1743.2395063
1,10000268,1,3,17,12.5,6.6,0,2,1763.4,1715.906118558
1,10000268,1,3,17,13,7,0,2,1784.2,1714.074730984
1,10000268,1,3,17,13.5,7,0,2,1785.9842,1774.707288794
1,10000268,1,3,17,14,7.4,0,2,1723.3216,1722.05398592
1,10000268,1,3,17,14.5,7.4,0,2,1637.6814,1627.245830354
1,10000268,1,3,17,15,7.1,0,2,873.4726,857.538958904
1,10000268,1,3,17,15.5,7.1,0,2,617.2166,609.578781966
1,10000268,1,3,17,16,6.6,0,2,331.1308,327.189423856
1,10000268,1,3,17,16.5,6.6,0,2,133.7336,130.824736552
1,10000268,1,3,17,17,6,0,2,87.4874,86.800476204
1,10000268,1,3,18,6.5,1.1,0,4,166.4,161.161626496
1,10000268,1,3,18,7,3.4,0,4,461.0606,NaN
1,10000268,1,3,18,7.5,3.4,0,4,616.5306,NaN
1,10000268,1,3,18,8,3.3,0,4,330.3264,1212.929289528
1,10000268,1,3,18,8.5,3.3,0,4,512.631,357.41039775
1,10000268,1,3,18,9,4,0,4,658.3698,512.184352614
1,10000268,1,3,18,9.5,4,0,4,595.9228,599.981069952
1,10000268,1,3,18,10,5.1,0,4,399.6608,533.11432108
1,10000268,1,3,18,10.5,5.1,0,4,595.1992,404.495066872
1,10000268,1,3,18,11,4.9,0,4,722,561.7639769
1,10000268,1,3,18,11.5,4.9,0,4,765.32,668.7679869
1,10000268,1,3,18,12,4.4,1,10,1193.105,735.61747955
1,10000268,1,3,18,12.5,4.4,1,10,659.5116,1078.270377258
1,10000268,1,3,18,13,4.1,0.5,10,330.077,623.608481188
1,10000268,1,3,18,13.5,4.1,0.5,10,274.36,312.94730805
1,10000268,1,3,18,14,4.6,1.5,10,1129.93,280.7986877
1,10000268,1,3,18,14.5,4.6,1.5,10,330.5412,973.538221876
1,10000268,1,3,18,15,4.5,2,10,183.6388,276.2147667
1,10000268,1,3,18,15.5,4.5,2,10,255.3,137.26869982
1,10000268,1,3,18,16,6.1,1.5,10,255.1736,113.501306732
1,10000268,1,3,18,16.5,6.1,1.5,10,183.513,100.84507479
1,10000268,1,3,18,17,4.3,0.5,10,117.6,96.184647216
1,10000268,1,3,19,6.5,2,0,1,166.5664,NaN
1,10000268,1,3,19,7,2.5,0,1,471.2708,451.944219892
1,10000268,1,3,19,7.5,2.5,0,1,702.1014,689.520205836
1,10000268,1,3,19,8,3.5,0,1,1448.8,1435.60527132
1,10000268,1,3,19,8.5,3.5,0,1,1660.659,1591.39669563
1,10000268,1,3,19,9,4.3,0,1,1386.0324,1749.012031452
1,10000268,1,3,19,9.5,4.3,0,1,1172.2194,1425.120579212
1,10000268,1,3,19,10,5.6,0,1,1215.984,1065.18013833
1,10000268,1,3,19,10.5,5.6,0,1,1659.306,1357.967055874
1,10000268,1,3,19,11,5.4,0,1,1279.745,1663.0033936
1,10000268,1,3,19,11.5,5.4,0,1,1001.775,1291.21723705
1,10000268,1,3,19,12,7,0,2,1300.6818,1018.964488322
1,10000268,1,3,19,12.5,7,0,2,1278.465,1296.475732776
1,10000268,1,3,19,13,6.9,0,2,1215.0402,1224.026269774
1,10000268,1,3,19,13.5,6.9,0,2,1427.755,1203.5259509
1,10000268,1,3,19,14,6.9,0,2,1763.485,1404.2719139
1,10000268,1,3,19,14.5,6.9,0,2,1342.1976,1587.422543764
1,10000268,1,3,19,15,6.8,0,4,1022.5914,967.255319148
1,10000268,1,3,19,15.5,6.8,0,4,701.224,645.24584123
1,10000268,1,3,19,16,6.7,0,4,330.9724,374.02593008
1,10000268,1,3,19,16.5,6.7,0,4,175.071,136.28158785
1,10000268,1,3,19,17,6.3,0,4,102.4296,99.053617992
1,10000268,1,3,23,6.5,-0.2,1,12,166.4874,NaN
1,10000268,1,3,23,7,0.2,0,12,46.2536,267.712803108
1,10000268,1,3,23,7.5,0.2,0,12,133.2176,76.2624114672
1,10000268,1,3,23,8,0.9,0,12,201.3832,206.354452952
1,10000268,1,3,23,8.5,0.9,0,12,1386.0324,251.574879078
1,10000268,1,3,23,9,1.6,0,4,1765.1634,NaN
1,10000268,1,3,23,9.5,1.6,0,4,1784.2,1729.128508118
1,10000268,1,3,23,10,2,0,4,1618.617,1589.35368207
1,10000268,1,3,23,10.5,2,0,4,1648.6008,1715.568374014
1,10000268,1,3,23,11,4.4,0,4,1512.59,1481.26128285
1,10000268,1,3,23,11.5,4.4,0,4,1532.445,1528.1166461
1,10000268,1,3,23,12,6.5,0,2,1448.7704,1514.227327558
1,10000268,1,3,23,12.5,6.5,0,2,1109.1786,1436.246484648
1,10000268,1,3,23,13,7.4,0,2,1448.7704,1094.60500501
1,10000268,1,3,23,13.5,7.4,0,2,1532.445,1425.9273292
1,10000268,1,3,23,14,7.7,0,2,1680.455,1475.02417755
1,10000268,1,3,23,14.5,7.7,0,2,1554.2114,1488.343036086
1,10000268,1,3,23,15,7.7,0,2,1259.0578,1134.544756784
1,10000268,1,3,23,15.5,7.7,0,2,851.851,836.60825393
1,10000268,1,3,23,16,7.1,0,2,450.5556,452.572526032
1,10000268,1,3,23,16.5,7.1,0,2,149.745,179.5368381
1,10000268,1,3,23,17,6.4,0,2,117.6,88.911317712
1,10000268,1,3,24,6.5,-0.1,0,4,330.8238,383.816640474
1,10000268,1,3,24,7,1.2,0,4,638.0276,532.389662754
1,10000268,1,3,24,7.5,1.2,0,4,959.3584,900.036152272
1,10000268,1,3,24,8,2.7,0,4,1450.2488,1449.95817072
1,10000268,1,3,24,8.5,2.7,0,4,1765.1634,1766.96876892
1,10000268,1,3,24,9,7.7,0,2,1783.34,1797.4447393
1,10000268,1,3,24,9.5,7.7,0,2,1785.9842,1758.183473596
1,10000268,1,3,24,10,10.3,0,2,1785.9842,1774.067510358
1,10000268,1,3,24,10.5,10.3,0,2,1785.9842,1784.3257861
1,10000268,1,3,24,11,10.9,0,2,1805,1806.7495865
1,10000268,1,3,24,11.5,10.9,0,2,1744.3426,1738.695948664
1,10000268,1,3,24,12,11.3,0,1,1785.9842,1785.33956854
1,10000268,1,3,24,12.5,11.3,0,1,1765.1634,1763.214278712
1,10000268,1,3,24,13,12.6,0,1,1762.7896,1785.21735084
1,10000268,1,3,24,13.5,12.6,0,1,1805,1783.17944525
1,10000268,1,3,24,14,13.2,0,1,1806.805,1802.2239461
1,10000268,1,3,24,14.5,13.2,0,1,1639.638,1632.09109518
1,10000268,1,3,24,15,13,0,1,1342.908,1523.54143599
1,10000268,1,3,24,15.5,13,0,1,979.342,952.79973321
1,10000268,1,3,24,16,12.1,0,1,471.2708,432.198067532
1,10000268,1,3,24,16.5,12.1,0,1,201.201,201.2238537
1,10000268,1,3,24,17,11.4,0,1,117.6,117.7176
1,10000268,1,3,25,6.5,2.5,0,2,330.8238,NaN
1,10000268,1,3,25,7,3.8,0,2,512.1906,NaN
1,10000268,1,3,25,7.5,3.8,0,2,829.8906,758.309419986
1,10000268,1,3,25,8,7.4,0,2,1300.773,1265.773328708
1,10000268,1,3,25,8.5,7.4,0,2,1700.3426,1585.429040118
1,10000268,1,3,25,9,11.2,0,4,1490.93,1716.1736757
1,10000268,1,3,25,9.5,11.2,0,4,1783.8156,1524.448331644
1,10000268,1,3,25,10,11.7,0,4,1784.5382,1713.972857686
1,10000268,1,3,25,10.5,11.7,0,4,1825.8,1782.950245026
1,10000268,1,3,25,11,12.2,0,4,1805,1758.66631785
1,10000268,1,3,25,11.5,12.2,0,4,1742.2392,1676.194967748
1,10000268,1,3,25,12,14,0,2,1679.736,1772.297140218
1,10000268,1,3,25,12.5,14,0,2,658.825,1613.691299
1,10000268,1,3,25,13,14.2,0,2,1364.913,722.079050132
1,10000268,1,3,25,13.5,14.2,0,2,1805,1353.6412307
1,10000268,1,3,25,14,13.8,0,2,1794.8952,1807.107467508
1,10000268,1,3,25,14.5,13.8,0,2,1491.6016,1582.20942392
1,10000268,1,3,25,15,12.5,0,10,1065.435,1340.49534927
1,10000268,1,3,25,15.5,12.5,0,10,786.7022,752.936059092
1,10000268,1,3,25,16,12.2,0,10,470.56,410.427790848
1,10000268,1,3,25,16.5,12.2,0,10,218.5664,201.283154176
1,10000268,1,3,25,17,11.4,0,10,117.6,107.682761424
1,10000268,1,3,26,6.5,7,0,2,102.3876,NaN
1,10000268,1,3,26,7,7,0,2,330.5772,172.922885918
1,10000268,1,3,26,7.5,7,0,2,829.8906,473.12920431
1,10000268,1,3,26,8,9.7,0,2,1150.8534,1170.854570682
1,10000268,1,3,26,8.5,9.7,0,2,958.1154,1329.350129338
1,10000268,1,3,26,9,11.6,0,2,1023.435,955.26789345
1,10000268,1,3,26,9.5,11.6,0,2,1237.222,1008.391198738
1,10000268,1,3,26,10,12.6,0,2,1385.1502,1178.170781952
1,10000268,1,3,26,10.5,12.6,0,2,1763.7228,1358.884185756
1,10000268,1,3,26,11,13.7,0,2,1805,1523.3488469
1,10000268,1,3,26,11.5,13.7,0,2,1701.681,1719.77930322
1,10000268,1,3,26,12,14.5,0,3,1805.7162,1721.990288562
1,10000268,1,3,26,12.5,14.5,0,3,1741.825,1713.16093215
1,10000268,1,3,26,13,16.2,0,3,1532.6278,1639.470459814
1,10000268,1,3,26,13.5,16.2,0,3,1449.415,1522.2718034
1,10000268,1,3,26,14,15.4,0,3,1384.95,1467.275250462
1,10000268,1,3,26,14.5,15.4,0,3,957.5504,1216.478066
1,10000268,1,3,26,15,15.3,0,4,450.702,821.04191715
1,10000268,1,3,26,15.5,15.3,0,4,292.7264,318.09168066
1,10000268,1,3,26,16,15,0,4,166.6336,151.884428256
1,10000268,1,3,26,16.5,15,0,4,117.6896,69.826040064
1,10000268,1,3,26,17,14.1,0,4,45.9816,57.389610264
1,10000268,1,3,27,6.5,5.2,0,4,117.4446,NaN
1,10000268,1,3,27,7,5.8,0,4,255.075,160.05527724
1,10000268,1,3,27,7.5,5.8,0,4,321.3744,357.993063078
1,10000268,1,3,27,8,7.7,0,4,449.7588,520.443201666
1,10000268,1,3,27,8.5,7.7,0,4,1000.9362,552.90270486
1,10000268,1,3,27,9,11,0,2,1342.92,1006.3554041
1,10000268,1,3,27,9.5,11,0,2,1721.0312,1372.333585616
1,10000268,1,3,27,10,13.3,0,2,1742.784,1683.174850842
1,10000268,1,3,27,10.5,13.3,0,2,1763.7228,1750.99441788
1,10000268,1,3,27,11,15.3,0,2,1806.805,1685.9177964
1,10000268,1,3,27,11.5,15.3,0,2,1765.1634,1710.912169758
1,10000268,1,3,27,12,16.8,0,1,1825.8,1725.534860166
1,10000268,1,3,27,12.5,16.8,0,1,1806.805,1801.9740258
1,10000268,1,3,27,13,17.1,0,1,1616.4852,1751.978900254
1,10000268,1,3,27,13.5,17.1,0,1,1783.34,1632.3701249
1,10000268,1,3,27,14,17.2,0,1,1783.8156,1816.584477232
1,10000268,1,3,27,14.5,17.2,0,1,1617.4608,1639.749801008
1,10000268,1,3,27,15,17,0,1,1129.821,1457.27277402
1,10000268,1,3,27,15.5,17,0,1,1000.866,794.447837402
1,10000268,1,3,27,16,16,0,1,554.1536,506.341343648
1,10000268,1,3,27,16.5,16,0,1,236.8,235.873335296
1,10000268,1,3,27,17,15.5,0,1,117.6,116.790157008
1,10000268,1,3,28,6.5,4.3,0,2,390.1914,NaN
1,10000268,1,3,28,7,3.6,0,2,616.2612,599.17226332
1,10000268,1,3,28,7.5,3.6,0,2,979.8,855.617247792
1,10000268,1,3,28,8,6.7,0,2,1471.2698,1438.766304746
1,10000268,1,3,28,8.5,6.7,0,2,1762.7896,1773.86225599
1,10000268,1,3,28,9,11.1,0,2,1783.34,1788.54509655
1,10000268,1,3,28,9.5,11.1,0,2,1804.1282,1801.209685632
1,10000268,1,3,28,10,11.9,0,2,1804.5076,1758.05360171
1,10000268,1,3,28,10.5,11.9,0,2,1805.7162,1803.97676034
1,10000268,1,3,28,11,12.5,0,2,1805.7162,NaN
1,10000268,1,3,28,11.5,12.5,0,2,1825.2124,1876.213793014
1,10000268,1,3,28,12,12.8,0,2,1783.8066,1668.815324202
1,10000268,1,3,28,12.5,12.8,0,2,1805.7162,1770.598361124
1,10000268,1,3,28,13,12.4,0,2,1785.9842,1761.506902936
1,10000268,1,3,28,13.5,12.4,0,2,1806.805,1799.9974425
1,10000268,1,3,28,14,12.5,0,2,1783.8156,1842.99192826
1,10000268,1,3,28,14.5,12.5,0,2,1554.5312,1628.472476528
1,10000268,1,3,28,15,12.3,0,2,1215.669,1393.70703633
1,10000268,1,3,28,15.5,12.3,0,2,851.2742,858.360406614
1,10000268,1,3,28,16,11.3,0,2,370.0424,454.87959049
1,10000268,1,3,28,16.5,11.3,0,2,149.8944,156.128415744
1,10000268,1,3,28,17,11,0,2,117.6,77.259275688
1,10000268,1,3,29,6.5,5,0,3,255.1086,NaN
1,10000268,1,3,29,7,6.6,0,3,584.972,357.797661264
1,10000268,1,3,29,7.5,6.6,0,3,893.5776,831.406801308
1,10000268,1,3,29,8,9.7,0,3,1236.039,1322.96992107
1,10000268,1,3,29,8.5,9.7,0,3,1743.1634,1480.663171262
1,10000268,1,3,29,9,15.7,0,2,1783.34,1762.3477056
1,10000268,1,3,29,9.5,15.7,0,2,1783.8156,1816.147940992
1,10000268,1,3,29,10,16.8,0,2,1784.5382,1752.395381144
1,10000268,1,3,29,10.5,16.8,0,2,1805.7162,1788.22613148
1,10000268,1,3,29,11,17.5,0,2,1783.8066,1763.705199288
1,10000268,1,3,29,11.5,17.5,0,2,1825.2124,1881.887020068
1,10000268,1,3,29,12,18.2,0,1,1827.6258,1725.406780296
1,10000268,1,3,29,12.5,18.2,0,1,1805.7162,1817.137437126
1,10000268,1,3,29,13,18.4,0,1,1783.8066,1800.040956312
1,10000268,1,3,29,13.5,18.4,0,1,1783.367,1820.640360022
1,10000268,1,3,29,14,17.4,0,1,1586.2294,1757.222270216
1,10000268,1,3,29,14.5,17.4,0,1,1364.0416,1465.823969056
1,10000268,1,3,29,15,16.4,0,2,1086.897,1231.87322391
1,10000268,1,3,29,15.5,16.4,0,2,786.7022,771.982506786
1,10000268,1,3,29,16,15.1,0,2,470.5974,427.165845288
1,10000268,1,3,29,16.5,15.1,0,2,218.5664,195.466870208
1,10000268,1,3,29,17,14,0,2,117.6,109.3232238
1,10000268,1,3,31,6.5,2.4,0,4,273.6072,NaN
1,10000268,1,3,31,7,3,0,4,680.8802,429.702072602
1,10000268,1,3,31,7.5,3,0,4,980.7798,973.58091546
1,10000268,1,3,31,8,5.4,0,4,511.413,1425.96286329
1,10000268,1,3,31,8.5,5.4,0,4,1470.1808,676.82815189
1,10000268,1,3,31,9,6.4,0,2,1783.34,1450.1263144
1,10000268,1,3,31,9.5,6.4,0,2,1783.8156,1699.178572532
1,10000268,1,3,31,10,7.6,0,2,1817.2154,1712.655331136
1,10000268,1,3,31,10.5,7.6,0,2,1763.7228,1806.559975212
1,10000268,1,3,31,11,9.9,0,2,1805.7162,1775.960662692
1,10000268,1,3,31,11.5,9.9,0,2,1805.9184,1908.021630592
1,10000268,1,3,31,12,10.2,0,2,1825.4544,1717.82607612
1,10000268,1,3,31,12.5,10.2,0,2,1783.8066,1363.627157706
1,10000268,1,3,31,13,10.8,0,2,1825.8,1591.204528188
1,10000268,1,3,31,13.5,10.8,0,2,1721.7428,1208.096073458
1,10000268,1,3,31,14,11.2,0,2,1680.406,NaN
1,10000268,1,3,31,14.5,11.2,0,2,1554.5312,1490.765010496
1,10000268,1,3,31,15,10,0,2,1427.223,1126.81377522
1,10000268,1,3,31,15.5,10,0,2,894.3222,785.265064044
1,10000268,1,3,31,16,9.2,0,2,311.4332,424.570813784
1,10000268,1,3,31,16.5,9.2,0,2,149.8944,123.729506048
1,10000268,1,3,31,17,7.7,0,2,117.6,72.309918576
1,10000268,1,4,1,6.5,5.2,0,1,430.6302,430.6306302
1,10000268,1,4,1,7,6.9,0,1,744.744,740.0659884
1,10000268,1,4,1,7.5,6.9,0,1,1002.2012,996.430143032
1,10000268,1,4,1,8,8,0,1,1492.491,1492.4034783
1,10000268,1,4,1,8.5,8,0,1,1785.9842,1784.49492826
1,10000268,1,4,1,9,9,0,1,1805,1806.208628
1,10000268,1,4,1,9.5,9,0,1,1804.1282,1842.139242244
1,10000268,1,4,1,10,10.3,0,1,1784.728,1872.041532144
1,10000268,1,4,1,10.5,10.3,0,1,1814.8452,1739.739292038
1,10000268,1,4,1,11,11.4,0,1,1783.8066,1816.410695694
1,10000268,1,4,1,11.5,11.4,0,1,1908.1766,1886.67198995
1,10000268,1,4,1,12,11.8,0,1,1784.7984,2009.84226828
1,10000268,1,4,1,12.5,11.8,0,1,1814.8452,1613.96411112
1,10000268,1,4,1,13,12.5,0,1,1827.6258,1817.078445528
1,10000268,1,4,1,13.5,12.5,0,1,1826.3172,1869.00727118
1,10000268,1,4,1,14,12.6,0,1,1826.2874,1811.091839396
1,10000268,1,4,1,14.5,12.6,0,1,1702.5008,1683.069108976
1,10000268,1,4,1,15,12.6,0,1,1534.533,1533.8641521
1,10000268,1,4,1,15.5,12.6,0,1,1077.2762,1077.23939396
1,10000268,1,4,1,16,11.6,0,1,575.1746,574.62769572
1,10000268,1,4,1,16.5,11.6,0,1,237.0368,237.03530816
1,10000268,1,4,1,17,10.9,0,1,117.6,117.892236
1,10000268,1,4,2,6.5,-1.1,0,1,522.9224,518.248257344
1,10000268,1,4,2,7,1.4,0,1,808.0304,814.539126352
1,10000268,1,4,2,7.5,1.4,0,1,1237.8366,1206.110538792
1,10000268,1,4,2,8,4.6,0,1,1637.805,1679.334829784
1,10000268,1,4,2,8.5,4.6,0,1,1763.485,1756.34631525
1,10000268,1,4,2,9,7.5,0,1,1763.485,1736.14450255
1,10000268,1,4,2,9.5,7.5,0,1,1763.503,1775.881202984
1,10000268,1,4,2,10,10.5,0,1,1805.7248,1822.628521984
1,10000268,1,4,2,10.5,10.5,0,1,1805.7162,1722.156801522
1,10000268,1,4,2,11,13.6,0,1,1794.7614,1788.980515524
1,10000268,1,4,2,11.5,13.6,0,1,1825.2124,1896.345442024
1,10000268,1,4,2,12,14.4,0,1,1784.7984,1908.582218928
1,10000268,1,4,2,12.5,14.4,0,1,1825.8,1605.631725918
1,10000268,1,4,2,13,15.5,0,1,1805.004,1825.44923574
1,10000268,1,4,2,13.5,15.5,0,1,1846.8586,1802.682302508
1,10000268,1,4,2,14,16.3,0,1,1804.1282,1807.347396246
1,10000268,1,4,2,14.5,16.3,0,1,1678.9322,1713.770257254
1,10000268,1,4,2,15,15.8,0,1,1386.176,1468.563984888
1,10000268,1,4,2,15.5,15.8,0,1,979.5366,994.396723824
1,10000268,1,4,2,16,15.7,0,1,470.526,570.8727208
1,10000268,1,4,2,16.5,15.7,0,1,254.9728,213.619475024
1,10000268,1,4,2,17,14.9,0,1,117.6,102.168305736
1,10000268,1,4,3,6.5,4.7,0,2,390.0096,393.582775248
1,10000268,1,4,3,7,5.9,0,2,722.5816,622.381574552
1,10000268,1,4,3,7.5,5.9,0,2,1087.5584,1084.36581744
1,10000268,1,4,3,8,8.6,0,2,1575.6524,1456.50242221
1,10000268,1,4,3,8.5,8.6,0,2,1783.34,1684.81041085
1,10000268,1,4,3,9,11,0,4,1680.455,1754.38705995
1,10000268,1,4,3,9.5,11,0,4,1794.8952,1684.484326896
1,10000268,1,4,3,10,14.4,0,4,1763.7312,1824.462668816
1,10000268,1,4,3,10.5,14.4,0,4,1721.7294,1648.279821282
1,10000268,1,4,3,11,16.2,0,4,1783.8066,1702.970528286
1,10000268,1,4,3,11.5,16.2,0,4,1784.695,1848.272280096
1,10000268,1,4,3,12,17,0,3,1805.1264,1855.325643864
1,10000268,1,4,3,12.5,17,0,3,1763.7228,1611.295686162
1,10000268,1,4,3,13,18.7,0,3,1364.895,1746.13596723
1,10000268,1,4,3,13.5,18.7,0,3,1109.2356,1328.936125026
1,10000268,1,4,3,14,18.6,0,3,958.3854,1157.112300218
1,10000268,1,4,3,14.5,18.6,0,3,553.102,918.777465452
1,10000268,1,4,3,15,18.5,0,3,133.892,542.23259244
1,10000268,1,4,3,15.5,18.5,0,3,430.4538,109.6603267368
1,10000268,1,4,3,16,17.9,0,3,380.243,227.15478921
1,10000268,1,4,3,16.5,17.9,0,3,149.7088,162.4200859
1,10000268,1,4,3,17,16,0,3,59.1528,58.955610672
1,10000268,1,4,5,6.5,2.7,0,12,149.7168,NaN
1,10000268,1,4,5,7,2.8,0,12,491.1232,233.514339608
1,10000268,1,4,5,7.5,2.8,0,12,1129.9632,735.109034
1,10000268,1,4,5,8,4,0,12,1118.7468,1515.542067244
1,10000268,1,4,5,8.5,4,0,12,1310.43,1229.51009915
1,10000268,1,4,5,9,5.2,0,12,1741.825,1328.5851232
1,10000268,1,4,5,9.5,5.2,0,12,1469.8936,1646.264471124
1,10000268,1,4,5,10,5.8,0,12,1406.7856,1442.118232432
