use_data1,use_data2,use_data3,use_data4,use_data5,use_data6,use_data7,use_data8,use_data9,use_data10,use_data11
1,14,4,2,25,15,12.3,0,2,1534.0784,1467.146559408
1,14,4,2,25,15.5,12.3,0,2,1151.8518,1450.861954168
1,14,4,2,25,16,11.7,0,1,659.6016,1259.948417664
1,14,4,2,25,16.5,11.7,0,1,255.192,585.52750896
1,14,4,2,25,17,11.1,0,1,133.665,66.95173923
1,14,4,2,26,6.5,2.5,0,1,46.046,46.0435344
1,14,4,2,26,7,2.2,0,2,200.8934,216.59671681
1,14,4,2,26,7.5,2.2,0,2,584.7452,672.094575308
1,14,4,2,26,8,4.3,0,2,1108.8224,1209.221880608
1,14,4,2,26,8.5,4.3,0,2,1595.7568,1778.266712
1,14,4,2,26,9,6.9,0,2,1991.8506,2109.295424538
1,14,4,2,26,9.5,6.9,0,2,2052.0576,2548.356989184
1,14,4,2,26,10,8.8,0,2,2646.9828,2470.744665032
1,14,4,2,26,10.5,8.8,0,2,2768.8136,2925.216364448
1,14,4,2,26,11,11.3,0,3,2768.7664,2959.902806592
1,14,4,2,26,11.5,11.3,0,3,2809.9936,3025.903752256
1,14,4,2,26,12,12.8,0,2,2930.3088,2984.824136892
1,14,4,2,26,12.5,12.8,0,2,2889.0032,2944.12648032
1,14,4,2,26,13,14.5,0,3,2666.748,2672.666402728
1,14,4,2,26,13.5,14.5,0,3,2441.217,2536.135138368
1,14,4,2,26,14,15.6,0,4,1193.4444,2340.289400808
1,14,4,2,26,14.5,15.6,0,4,1086.9282,1519.446252564
1,14,4,2,26,15,14.2,0,3,723.0688,1042.679157988
1,14,4,2,26,15.5,14.2,0,3,389.7388,762.172869282
1,14,4,2,26,16,14.1,0,4,184.2384,514.470922608
1,14,4,2,26,16.5,14.1,0,4,133.92,243.29706192
1,14,4,2,26,17,13.5,0,4,72.963,91.4896926
1,14,4,2,28,6.5,9.9,0,3,46.002,66.02409
1,14,4,2,28,7,9.6,0,2,218.8186,149.832676468
1,14,4,2,28,7.5,9.6,0,2,722.8,634.603336848
1,14,4,2,28,8,11.9,0,3,1300.4544,1096.6640104
1,14,4,2,28,8.5,11.9,0,3,1679.744,1876.278113744
1,14,4,2,28,9,13.8,0,2,2258.679,2139.985395144
1,14,4,2,28,9.5,13.8,0,2,2585.376,2701.926699264
1,14,4,2,28,10,14.5,0,3,2848.9972,2910.26088906
1,14,4,2,28,10.5,14.5,0,3,3009.58,3165.635637864
1,14,4,2,28,11,15.9,0,3,3053.0896,3191.834379792
1,14,4,2,28,11.5,15.9,0,3,3232.5232,3115.685074544
1,14,4,2,28,12,16.7,0,3,3154.3494,3356.146466868
1,14,4,2,28,12.5,16.7,0,3,3029.8464,3261.638134544
1,14,4,2,28,13,17.6,0,3,2502.3824,2968.836509016
1,14,4,2,28,13.5,17.6,0,3,2218.1124,2580.986826126
1,14,4,2,28,14,17.3,0,3,1531.7436,2379.68913522
1,14,4,2,28,14.5,17.3,0,3,1721.6718,1615.5404232
1,14,4,2,28,15,16.8,0,3,1385.0676,1584.488118512
1,14,4,2,28,15.5,16.8,0,3,1022.582,1181.085567156
1,14,4,2,28,16,15.9,0,3,701.7936,998.297514336
1,14,4,2,28,16.5,15.9,0,3,273.792,546.20493648
1,14,4,2,28,17,14.3,0,4,141.504,68.36243964
35,1160000024,4,2,21,6.5,0.7,0,1,39.6396,39.60000396
35,1160000024,4,2,21,7,0.7,0,1,183.6,242.2704867
35,1160000024,4,2,21,7.5,0.7,0,1,575.1746,468.081450694
35,1160000024,4,2,21,8,2.5,0,1,1449.5152,1296.943721718
35,1160000024,4,2,21,8.5,2.5,0,1,1846.464,1886.41034176
35,1160000024,4,2,21,9,4.7,0,1,2218.6224,2287.695419136
