Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,05,11,23,3,6,5,31.00,1,,0.00
1,2019,05,12,00,0,7,5,30.00,1,,0.00
1,2019,05,12,00,1,7,5,30.00,1,,0.00
1,2019,05,12,00,2,7,5,30.00,1,,0.00
1,2019,05,12,00,3,7,5,30.00,1,,0.00
1,2019,05,12,01,0,7,5,30.00,1,,0.00
1,2019,05,12,01,1,7,5,30.00,1,,0.00
1,2019,05,12,01,2,7,5,30.00,1,,0.00
1,2019,05,12,01,3,7,5,30.00,1,,0.00
1,2019,05,12,02,0,7,5,30.00,1,,0.00
1,2019,05,12,02,1,7,5,30.00,1,,0.00
1,2019,05,12,02,2,7,5,30.00,1,,0.00
1,2019,05,12,02,3,7,5,30.00,1,,0.00
1,2019,05,12,03,0,7,5,30.00,1,,0.00
1,2019,05,12,03,1,7,5,30.00,1,,0.00
1,2019,05,12,03,2,7,5,30.00,1,,0.00
1,2019,05,12,03,3,7,5,30.00,1,,0.00
1,2019,05,12,04,0,7,5,30.00,1,,0.00
1,2019,05,12,04,1,7,5,30.00,1,,0.00
1,2019,05,12,04,2,7,5,30.00,1,,0.00
1,2019,05,12,04,3,7,5,30.00,1,,0.00
1,2019,05,12,05,0,7,5,30.00,1,,0.00
1,2019,05,12,05,1,7,5,30.00,1,,0.00
1,2019,05,12,05,2,7,5,30.00,1,,0.00
1,2019,05,12,05,3,7,5,30.00,1,,0.00
1,2019,05,12,06,0,7,5,30.00,1,,0.00
1,2019,05,12,06,1,7,5,30.00,1,,0.00
1,2019,05,12,06,2,7,5,30.00,1,,0.00
1,2019,05,12,06,3,7,5,30.00,1,,0.00
1,2019,05,12,07,0,7,5,30.00,1,,0.00
1,2019,05,12,07,1,7,5,30.00,1,,0.00
1,2019,05,12,07,2,7,5,30.00,1,,0.00
1,2019,05,12,07,3,7,5,30.00,1,,0.00
1,2019,05,12,08,0,7,5,30.00,1,,0.00
1,2019,05,12,08,1,7,5,30.00,1,,0.00
1,2019,05,12,08,2,7,5,30.00,1,,0.00
1,2019,05,12,08,3,7,5,30.00,1,,0.00
1,2019,05,12,09,0,7,5,30.00,1,,0.00
1,2019,05,12,09,1,7,5,30.00,1,,0.00
1,2019,05,12,09,2,7,5,30.00,1,,0.00
1,2019,05,12,09,3,7,5,30.00,1,,0.00
1,2019,05,12,10,0,7,5,30.00,1,,0.00
1,2019,05,12,10,1,7,5,30.00,1,,0.00
1,2019,05,12,10,2,7,5,30.00,1,,0.00
1,2019,05,12,10,3,7,5,30.00,1,,0.00
1,2019,05,12,11,0,7,5,30.00,1,,0.00
1,2019,05,12,11,1,7,5,30.00,1,,0.00
1,2019,05,12,11,2,7,5,30.00,1,,0.00
1,2019,05,12,11,3,7,5,30.00,1,,0.00
1,2019,05,12,12,0,7,5,30.00,1,,0.00
1,2019,05,12,12,1,7,5,30.00,1,,0.00
1,2019,05,12,12,2,7,5,30.00,1,,0.00
1,2019,05,12,12,3,7,5,30.00,1,,0.00
1,2019,05,12,13,0,7,5,30.00,1,,0.00
1,2019,05,12,13,1,7,5,30.00,1,,0.00
1,2019,05,12,13,2,7,5,30.00,1,,0.00
1,2019,05,12,13,3,7,5,30.00,1,,0.00
1,2019,05,12,14,0,7,5,30.00,1,,0.00
1,2019,05,12,14,1,7,5,30.00,1,,0.00
1,2019,05,12,14,2,7,5,30.00,1,,0.00
1,2019,05,12,14,3,7,5,30.00,1,,0.00
1,2019,05,12,15,0,7,5,30.00,1,,0.00
1,2019,05,12,15,1,7,5,30.00,1,,0.00
1,2019,05,12,15,2,7,5,30.00,1,,0.00
1,2019,05,12,15,3,7,5,30.00,1,,0.00
1,2019,05,12,16,0,7,5,30.00,1,,0.00
1,2019,05,12,16,1,7,5,30.00,1,,0.00
1,2019,05,12,16,2,7,5,30.00,1,,0.00
1,2019,05,12,16,3,7,5,30.00,1,,0.00
1,2019,05,12,17,0,7,5,30.00,1,,0.00
1,2019,05,12,17,1,7,5,30.00,1,,0.00
1,2019,05,12,17,2,7,5,30.00,1,,0.00
1,2019,05,12,17,3,7,5,30.00,1,,0.00
1,2019,05,12,18,0,7,5,30.00,1,,0.00
1,2019,05,12,18,1,7,5,30.00,1,,0.00
1,2019,05,12,18,2,7,5,30.00,1,,0.00
1,2019,05,12,18,3,7,5,30.00,1,,0.00
1,2019,05,12,19,0,7,5,30.00,1,,0.00
1,2019,05,12,19,1,7,5,30.00,1,,0.00
1,2019,05,12,19,2,7,5,30.00,1,,0.00
1,2019,05,12,19,3,7,5,30.00,1,,0.00
1,2019,05,12,20,0,7,5,30.00,1,,0.00
1,2019,05,12,20,1,7,5,30.00,1,,0.00
1,2019,05,12,20,2,7,5,30.00,1,,0.00
1,2019,05,12,20,3,7,5,30.00,1,,0.00
1,2019,05,12,21,0,7,5,30.00,1,,0.00
1,2019,05,12,21,1,7,5,30.00,1,,0.00
1,2019,05,12,21,2,7,5,30.00,1,,0.00
1,2019,05,12,21,3,7,5,30.00,1,,0.00
1,2019,05,12,22,0,7,5,30.00,1,,0.00
1,2019,05,12,22,1,7,5,30.00,1,,0.00
1,2019,05,12,22,2,7,5,30.00,1,,0.00
1,2019,05,12,22,3,7,5,30.00,1,,0.00
1,2019,05,12,23,0,7,5,30.00,1,,0.00
1,2019,05,12,23,1,7,5,30.00,1,,0.00
1,2019,05,12,23,2,7,5,30.00,1,,0.00
1,2019,05,12,23,3,7,5,30.00,1,,0.00
1,2019,05,13,00,0,1,4,28.00,5,,0.00
1,2019,05,13,00,1,1,4,28.00,5,,0.00
1,2019,05,13,00,2,1,4,28.00,5,,0.00
1,2019,05,13,00,3,1,4,28.00,5,,0.00
1,2019,05,13,01,0,1,4,28.00,5,,0.00
1,2019,05,13,01,1,1,4,28.00,5,,0.00
1,2019,05,13,01,2,1,4,28.00,5,,0.00
1,2019,05,13,01,3,1,4,28.00,5,,0.00
1,2019,05,13,02,0,1,4,28.00,5,,0.00
1,2019,05,13,02,1,1,4,28.00,5,,0.00
1,2019,05,13,02,2,1,4,28.00,5,,0.00
1,2019,05,13,02,3,1,4,28.00,5,,0.00
1,2019,05,13,03,0,1,4,28.00,5,,0.00
1,2019,05,13,03,1,1,4,28.00,5,,0.00
1,2019,05,13,03,2,1,4,28.00,5,,0.00
1,2019,05,13,03,3,1,4,28.00,5,,0.00
1,2019,05,13,04,0,1,4,28.00,5,,0.00
1,2019,05,13,04,1,1,4,28.00,5,,0.00
