BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(Temp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,03,13,15,0,3,4,9.3,3,1.77,1.568
1,2019,03,13,15,1,3,4,9.1,2,1.54,1.568
1,2019,03,13,15,2,3,4,9.1,2,1.54,1.568
1,2019,03,13,15,3,3,4,9.1,2,1.54,1.568
1,2019,03,13,16,0,3,4,9.1,2,1.54,1.568
1,2019,03,13,16,1,3,4,8.4,2,0.89,1.568
1,2019,03,13,16,2,3,4,8.4,2,0.89,1.568
1,2019,03,13,16,3,3,4,8.4,2,0.89,1.568
1,2019,03,13,17,0,3,4,8.4,2,0.89,1.568
1,2019,03,13,17,1,3,4,8,1,0.35,1.568
1,2019,03,13,17,2,3,4,8,1,0.35,1.568
1,2019,03,13,17,3,3,4,8,1,0.35,1.568
1,2019,03,13,18,0,3,4,8,1,0.35,1.568
1,2019,03,13,18,1,3,4,7.1,1,0.02,1.568
1,2019,03,13,18,2,3,4,7.1,1,0.02,1.568
1,2019,03,13,18,3,3,4,7.1,1,0.02,1.568
1,2019,03,13,19,0,3,4,7.1,1,0.02,1.568
1,2019,03,13,19,1,3,4,6.7,1,0,1.568
1,2019,03,13,19,2,3,4,6.7,1,0,1.568
1,2019,03,13,19,3,3,4,6.7,1,0,1.568
1,2019,03,13,20,0,3,4,6.7,1,0,1.568
1,2019,03,13,20,1,3,4,6.2,1,0,1.568
1,2019,03,13,20,2,3,4,6.2,1,0,1.568
1,2019,03,13,20,3,3,4,6.2,1,0,1.568
1,2019,03,13,21,0,3,4,6.2,1,0,1.568
1,2019,03,13,21,1,3,4,5.6,1,0,1.568
1,2019,03,13,21,2,3,4,5.6,1,0,1.568
1,2019,03,13,21,3,3,4,5.6,1,0,1.568
1,2019,03,13,22,0,3,4,5.6,1,0,1.568
1,2019,03,13,22,1,3,4,5.1,1,0,1.568
1,2019,03,13,22,2,3,4,5.1,1,0,1.568
1,2019,03,13,22,3,3,4,5.1,1,0,1.568
1,2019,03,13,23,0,3,4,5.1,1,0,1.568
1,2019,03,13,23,1,3,4,5.1,1,0,1.568
1,2019,03,13,23,2,3,4,5.1,1,0,1.568
1,2019,03,13,23,3,3,4,5.1,1,0,1.568
1,2019,03,14,00,0,3,4,5.1,1,0,1.568
1,2019,03,14,00,1,4,4,4.2,1,0,1.568
1,2019,03,14,00,2,4,4,4.2,1,0,1.568
1,2019,03,14,00,3,4,4,4.2,1,0,1.568
1,2019,03,14,01,0,4,4,4.2,1,0,1.568
1,2019,03,14,01,1,4,4,3.1,1,0,1.568
1,2019,03,14,01,2,4,4,3.1,1,0,1.568
1,2019,03,14,01,3,4,4,3.1,1,0,1.568
1,2019,03,14,02,0,4,4,3.1,1,0,1.568
1,2019,03,14,02,1,4,4,2.2,2,0,1.568
1,2019,03,14,02,2,4,4,2.2,2,0,1.568
1,2019,03,14,02,3,4,4,2.2,2,0,1.568
1,2019,03,14,03,0,4,4,2.2,2,0,1.568
1,2019,03,14,03,1,4,4,0.6,2,0,1.568
1,2019,03,14,03,2,4,4,0.6,2,0,1.568
1,2019,03,14,03,3,4,4,0.6,2,0,1.568
1,2019,03,14,04,0,4,4,0.6,2,0,1.568
1,2019,03,14,04,1,4,4,0,1,0,1.568
1,2019,03,14,04,2,4,4,0,1,0,1.568
1,2019,03,14,04,3,4,4,0,1,0,1.568
1,2019,03,14,05,0,4,4,0,1,0,1.568
1,2019,03,14,05,1,4,4,-0.7,1,0,1.568
1,2019,03,14,05,2,4,4,-0.7,1,0,1.568
1,2019,03,14,05,3,4,4,-0.7,1,0,1.568
1,2019,03,14,06,0,4,4,-0.7,1,0,1.568
1,2019,03,14,06,1,4,4,-1,1,0,1.568
1,2019,03,14,06,2,4,4,-1,1,0,1.568
1,2019,03,14,06,3,4,4,-1,1,0,1.568
1,2019,03,14,07,0,4,4,-1,1,0,1.568
1,2019,03,14,07,1,4,4,1.4,1,0.43,1.568
1,2019,03,14,07,2,4,4,1.4,1,0.43,1.568
1,2019,03,14,07,3,4,4,1.4,1,0.43,1.568
1,2019,03,14,08,0,4,4,1.4,1,0.43,1.568
1,2019,03,14,08,1,4,4,4,1,1.05,1.568
1,2019,03,14,08,2,4,4,4,1,1.05,1.568
1,2019,03,14,08,3,4,4,4,1,1.05,1.568
1,2019,03,14,09,0,4,4,4,1,1.05,1.568
1,2019,03,14,09,1,4,4,5.3,1,1.81,1.568
1,2019,03,14,09,2,4,4,5.3,1,1.81,1.568
1,2019,03,14,09,3,4,4,5.3,1,1.81,1.568
1,2019,03,14,10,0,4,4,5.3,1,1.81,1.568
1,2019,03,14,10,1,4,4,7,1,2.43,1.568
1,2019,03,14,10,2,4,4,7,1,2.43,1.568
1,2019,03,14,10,3,4,4,7,1,2.43,1.568
1,2019,03,14,11,0,4,4,7,1,2.43,1.568
1,2019,03,14,11,1,4,4,8.6,1,2.83,1.568
1,2019,03,14,11,2,4,4,8.6,1,2.83,1.568
1,2019,03,14,11,3,4,4,8.6,1,2.83,1.568
1,2019,03,14,12,0,4,4,8.6,1,2.83,1.568
1,2019,03,14,12,1,4,4,9.8,1,2.94,1.568
1,2019,03,14,12,2,4,4,9.8,1,2.94,1.568
1,2019,03,14,12,3,4,4,9.8,1,2.94,1.568
1,2019,03,14,13,0,4,4,9.8,1,2.94,1.568
1,2019,03,14,13,1,4,4,11.2,1,2.83,1.568
1,2019,03,14,13,2,4,4,11.2,1,2.83,1.568
1,2019,03,14,13,3,4,4,11.2,1,2.83,1.568
1,2019,03,14,14,0,4,4,11.2,1,2.83,1.568
1,2019,03,14,14,1,4,4,12,1,2.47,1.568
1,2019,03,14,14,2,4,4,12,1,2.47,1.568
1,2019,03,14,14,3,4,4,12,1,2.47,1.568
1,2019,03,14,15,0,4,4,12,1,2.47,1.568
1,2019,03,14,15,1,4,4,12.4,1,1.91,1.568
1,2019,03,14,15,2,4,4,12.4,1,1.91,1.568
1,2019,03,14,15,3,4,4,12.4,1,1.91,1.568
1,2019,03,14,16,0,4,4,12.4,1,1.91,1.568
1,2019,03,14,16,1,4,4,12,2,1.04,1.568
1,2019,03,14,16,2,4,4,12,2,1.04,1.568
1,2019,03,14,16,3,4,4,12,2,1.04,1.568
1,2019,03,14,17,0,4,4,12,2,1.04,1.568
1,2019,03,14,17,1,4,4,12.1,2,0.28,1.568
1,2019,03,14,17,2,4,4,12.1,2,0.28,1.568
1,2019,03,14,17,3,4,4,12.1,2,0.28,1.568
1,2019,03,14,18,0,4,4,12.1,2,0.28,1.568
1,2019,03,14,18,1,4,4,11.4,3,0,1.568
1,2019,03,14,18,2,4,4,11.4,3,0,1.568
