ID,generation,forecast_generation
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.49175,0.421460435
1,0.915406,0.679312053
1,0.979587,1.385793549
1,1.6379308,1.454766271
1,1.9719648,1.998129058
1,2.0543948,1.947918034
1,2.237352,2.2762168
1,2.2388544,2.322379642
1,2.1564278,2.30618742
1,2.2173282,2.263277552
1,1.407744,2.5149888
1,1.8868832,1.679476893
1,2.176954,1.8733884
1,2.032092,1.99507718
1,2.032595,2.13213722
1,1.722561,1.719822825
1,1.258592,1.15858496
1,1.193675,1.007141113
1,0.595194,0.91545014
1,0.255075,0.380802488
1,0.183872,0.46835646
1,0.1335552,0.08317529
1,0.0592592,0.055339035
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.574364,0.628601271
1,0.9583636,0.57195692
1,1.268841,1.146271854
1,1.8049434,1.452816449
1,2.012452,2.112257711
1,2.2791324,2.183272042
1,2.381782,2.4230102
1,2.585376,2.448407923
1,2.6270218,1.48264792
1,2.6768494,2.663470689
1,2.5637184,2.45434752
1,2.606704,2.523855802
1,2.463188,2.2013758
1,2.279498,2.272745978
1,1.9908444,1.80098904
1,1.8261138,1.813757163
1,1.65828,1.50452768
1,1.3004544,1.319184115
1,0.8940716,0.96695896
1,0.6172166,0.540649678
1,0.3309696,0.55345472
1,0.0873792,0.155880467
1,0.04599,0.028666078
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.5326636,0.648680407
1,0.8509696,0.716116488
1,1.043558,1.222156338
1,0.915551,1.587100616
1,0.9574032,1.377707968
1,1.0235332,1.54004616
1,0.979498,2.2588852
1,0.9150336,1.462932979
1,1.5114372,2.22812418
1,1.1930942,1.471486538
1,1.5755904,1.81003392
1,2.1356448,2.040591405
1,1.743664,1.5146768
1,1.887972,1.682867622
1,1.087713,1.4261126
1,0.6591138,0.628887681
1,1.19448,0.880929
1,1.0650276,0.78983045
1,0.595404,0.3373062
1,0.5954886,0.574726459
1,0.350506,0.32826898
1,0.1335552,0.167041088
1,0.059203,0.055276841
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.6378,0.501312076
1,0.6586832,0.761157532
1,0.8730612,0.839058847
1,1.1932346,1.430639993
1,1.3860912,1.555858793
1,1.2140716,1.547599298
1,1.066156,1.2436736
1,1.9302336,1.824022022
1,2.3197516,2.00168542
1,1.951581,2.603486564
1,1.299456,1.81707264
1,0.8944832,1.191959731
1,0.798304,1.9482294
1,0.74462,0.83186064
1,0.4702436,1.2052739
1,0.4509726,0.495856241
1,0.449589,1.0333911
1,0.273084,0.381555566
1,0.166284,0.712965
1,0.1662318,0.140632103
1,0.1499706,0.49197252
1,0.0459392,0.053801434
1,0.04599,0.012025874
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.1836864,0.13753009
1,0.2925208,0.864095192
1,0.2733828,0.567260491
1,0.1831102,0.505611531
1,0.3119896,0.325393245
1,0.8720796,0.80787793
1,0.937482,0.7899008
1,0.5739264,1.333482797
1,1.1737168,0.7404935
1,1.951581,1.367576614
1,1.5755904,0.35897472
1,2.1779872,1.815700333
1,1.804062,0.8321794
1,1.638164,1.858564314
1,1.3426114,1.32349402
1,1.1301702,1.287831682
1,0.786366,0.6554709
1,0.370614,0.611081367
1,0.33078,0.3585834
1,0.2013018,0.292551836
1,0.1499706,0.2600065
1,0.0592,0.052237843
1,0.04599,0.014273179
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.2187654,0.297645315
1,0.3303644,0.330491227
1,0.4306514,0.661880336
1,1.2797592,1.145460948
1,2.1362952,1.958763591
1,2.1350072,2.034898813
1,2.25836,1.4190904
1,2.382336,2.397564
1,2.5245984,1.52001862
1,2.5854988,2.548515648
1,2.585376,2.18308608
1,2.38176,2.471711136
1,2.421172,2.25836
1,2.320332,2.252444274
1,1.9183302,2.0523716
1,1.7838066,1.677716665
1,1.491441,1.3817811
1,0.9792012,1.151381962
1,0.680334,0.8204238
1,0.5744466,0.557914602
1,0.5746,0.52598884
1,0.2185664,0.237223398
1,0.073,0.05092261
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.6384378,0.568009373
1,0.9583636,1.007991902
1,1.2155246,1.193167472
1,1.7425652,1.269124723
1,2.0934264,2.113917686
1,2.2986748,2.186215616
1,2.381782,1.8192928
1,2.463552,2.449490803
1,2.5439758,2.32002842
1,2.5661214,2.563439014
1,2.544768,2.22044544
1,2.5034944,2.394997293
1,2.360774,2.3295246
1,1.803902,1.744803192
1,0.8306172,2.10554868
1,0.7650102,0.622625187
1,0.449589,1.5420405
1,0.6593028,0.845838678
1,0.894894,0.8127354
1,0.4916814,0.548105523
1,0.3309696,0.53087294
1,0.1664704,0.161357414
1,0.059203,0.068243758
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.659,0.548682082
1,0.8724484,1.016892307
1,1.0649896,1.154674287
1,1.5534184,1.643351667
1,1.8266872,1.973539038
1,2.1569924,1.964160211
1,2.40279,2.1921848
1,2.50416,2.565559296
1,2.505221,2.12210212
1,2.5854988,2.514552602
1,2.4825024,2.1644064
1,2.5246656,2.423141757
1,2.381782,2.2284236
1,2.2797444,2.240679786
1,2.1160962,2.09873674
1,1.8276258,1.7700565
1,1.660659,1.5403815
1,1.3017004,1.299907148
1,0.9377368,0.83731184
1,0.7021014,0.693385804
1,0.4102644,0.51231336
1,0.1664704,0.185119821
1,0.059203,0.048135251
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.512043,0.554288854
1,0.8724484,0.787836247
1,1.1292316,1.187292092
1,1.638168,1.545787026
1,1.969792,1.966685101
1,2.156996,2.098706666
1,2.2795332,1.25866584
1,2.360774,2.407246322
1,2.442483,1.7110816
1,2.4848436,2.492000822
1,2.422944,2.20447296
1,2.381782,2.332442086
1,2.237352,2.2565218
1,2.094837,2.068112029
1,1.9904032,1.92398592
1,1.7637312,1.75539547
1,1.5756524,1.55532682
1,1.2796196,1.274836715
1,0.9372938,0.92726982
1,0.6165484,0.62990719
1,0.350506,0.52610376
1,0.1335552,0.185441395
1,0.059203,0.050704924
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.491614,0.411142192
1,0.8724484,0.780627553
1,1.1722592,1.083311555
1,1.679736,1.648816077
1,2.0332966,1.924145444
1,2.2188888,2.148991462
1,2.339548,1.742651
1,2.4638862,2.519112929
1,2.544594,2.08767
1,2.5643744,2.59155195
1,2.5440336,1.72989114
1,2.5039816,2.536614134
1,2.381782,2.2244846
1,2.238993,2.111282231
1,2.0538592,1.87956672
1,1.8458096,1.849987963
1,1.59581,1.55515884
1,1.3219098,1.306164204
1,1.0013646,0.92117276
1,0.6801548,0.699555475
1,0.3901534,0.5409859
1,0.1498944,0.155774144
1,0.04599,0.043591147
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.574648,0.544310935
1,0.915406,0.764378329
1,1.1511136,1.221212586
1,1.7107746,1.698413934
1,1.9923288,2.080963713
1,2.1556926,2.124340263
1,2.298714,1.4022876
1,2.4018366,2.461228409
1,2.339766,2.3342514
1,2.2993712,2.415105325
1,2.1562236,2.1109791
1,1.88906,2.153218334
1,1.5756,2.2376146
1,2.0742588,1.562508527
1,1.9502144,1.940696
1,1.3437952,1.700204427
1,1.385835,1.56103814
1,0.7871434,1.135480956
1,0.4918984,0.9481445
1,0.4705428,0.348364302
1,0.3309696,0.52208156
1,0.18352,0.184502957
1,0.059203,0.060216459
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.292596,0.345350268
1,0.5533348,0.425081817
1,0.680624,0.778243984
1,0.7869198,0.839427982
1,1.4899342,1.343879681
1,1.5120276,1.817082679
1,1.638164,1.676596
1,1.7218764,1.941366518
1,1.990508,1.2468248
1,2.422504,2.368001675
1,2.1769068,1.68981744
1,1.9906784,2.223751926
1,2.21897,1.986569
1,2.053377,2.046632179
1,1.8254176,1.4573728
1,1.374336,1.56230508
1,1.4916624,1.24036432
1,1.2359652,1.248256642
1,0.9155924,0.8417043
1,0.5327036,0.602435007
1,0.2924714,0.53719354
1,0.0873792,0.124677805
1,0.04599,0.028042366
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.491614,0.625339598
1,0.872144,0.799135005
1,1.2793088,1.238094704
1,1.086351,1.754224988
1,1.8672692,1.588153422
1,2.1978234,2.156532875
1,1.532476,1.7873282
1,1.990758,2.397821474
1,2.25836,2.2489064
1,2.0531056,2.386471595
1,2.301006,1.94189394
1,2.3398288,2.452104104
1,1.909102,2.3111426
1,2.0742588,1.82031291
1,1.9502144,2.0348224
1,1.8057248,1.732957526
1,1.5756524,1.12647388
1,0.9794956,1.218878595
1,0.6169398,0.9465944
1,0.430066,0.477106547
1,0.1338818,0.508521
1,0.1022976,0.110330803
1,0.059203,0.036320128
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.292596,0.397036297
1,0.450448,0.377834824
1,0.4506656,0.547700115
1,0.3122118,0.456462781
1,0.3902722,0.434394521
1,0.5125914,0.57539906
1,0.429958,1.4330332
1,0.659277,0.60291528
1,0.391274,0.5564494
1,0.2355584,0.49647145
1,0.3128334,0.51139212
1,0.5106976,0.452696944
