ID,year,month,day,hour,half-time,Humidity,WindSpeed,Temp,CloudCover,Rain
1,14,5,25,11.5,1,65,1.9,24,10,0
1,14,5,25,12,2,62,3.4,24.6,10,0
1,14,5,25,12.5,1,62,3.4,24.6,10,0
1,14,5,25,13,2,59,4,25.9,10,0
1,14,5,25,13.5,1,59,4,25.9,10,0
1,14,5,25,14,2,53,3.1,27,10,0
1,14,5,25,14.5,1,53,3.1,27,10,0
1,14,5,25,15,2,57,3.7,25.6,10,0
1,14,5,25,15.5,1,57,3.7,25.6,10,0
1,14,5,25,16,2,58,3.9,25,10,0
1,14,5,25,16.5,1,58,3.9,25,10,0
1,14,5,25,17,2,55,3.4,25.1,10,0
1,14,5,25,17.5,1,55,3.4,25.1,10,0
1,14,5,25,18,2,61,2.9,24.3,2,0
1,14,5,25,18.5,1,61,2.9,24.3,2,0
1,14,5,25,19,2,68,2.6,23.1,2,0
1,14,5,25,19.5,1,68,2.6,23.1,2,0
1,14,5,25,20,2,72,2.2,22.6,2,0
1,14,5,25,20.5,1,72,2.2,22.6,2,0
1,14,5,25,21,2,76,2.9,21.6,0,0
1,14,5,25,21.5,1,76,2.9,21.6,0,0
1,14,5,25,22,2,80,2.3,21.1,0,0
1,14,5,25,22.5,1,80,2.3,21.1,0,0
1,14,5,25,23,2,83,2.9,20.5,0,0
1,14,5,25,23.5,1,83,2.9,20.5,0,0
1,14,5,25,24,2,81,2.2,20.8,0,0
1,14,5,26,0.5,1,81,2.2,20.8,0,0
1,14,5,26,1,2,83,1.9,20.3,0,0
1,14,5,26,1.5,1,83,1.9,20.3,0,0
1,14,5,26,2,2,84,1.3,20.1,0,0
1,14,5,26,2.5,1,84,1.3,20.1,0,0
1,14,5,26,3,2,84,2.2,20,5,0
1,14,5,26,3.5,1,84,2.2,20,5,0
1,14,5,26,4,2,84,1.3,19.6,5,0
1,14,5,26,4.5,1,84,1.3,19.6,5,0
1,14,5,26,5,2,85,1.6,19.5,5,0
1,14,5,26,5.5,1,85,1.6,19.5,5,0
1,14,5,26,6,2,83,1.7,19.9,10,0
1,14,5,26,6.5,1,83,1.7,19.9,10,0
1,14,5,26,7,2,75,1.8,20.8,10,0
1,14,5,26,7.5,1,75,1.8,20.8,10,0
1,14,5,26,8,2,66,2.3,22,10,0
1,14,5,26,8.5,1,66,2.3,22,10,0
1,14,5,26,9,2,63,4.9,22.6,10,0
1,14,5,26,9.5,1,63,4.9,22.6,10,0
1,14,5,26,10,2,58,7.6,22.9,10,0
1,14,5,26,10.5,1,58,7.6,22.9,10,0
1,14,5,26,11,2,59,6.6,24.1,10,0
1,14,5,26,11.5,1,59,6.6,24.1,10,0
1,14,5,26,12,2,54,10,23.9,10,0
1,14,5,26,12.5,1,54,10,23.9,10,0
1,14,5,26,13,2,59,8.6,23.4,10,0
1,14,5,26,13.5,1,59,8.6,23.4,10,0
1,14,5,26,14,2,62,8,22.8,10,0
1,14,5,26,14.5,1,62,8,22.8,10,0
1,14,5,26,15,2,66,7.8,22.6,10,0
1,14,5,26,15.5,1,66,7.8,22.6,10,0
1,14,5,26,16,2,63,5.3,22.7,10,0
1,14,5,26,16.5,1,63,5.3,22.7,10,0
1,14,5,26,17,2,65,8,22.2,10,0
1,14,5,26,17.5,1,65,8,22.2,10,0
1,14,5,26,18,2,71,6.1,21.7,10,0
1,14,5,26,18.5,1,71,6.1,21.7,10,0
1,14,5,26,19,2,75,6.1,21.2,10,0
1,14,5,26,19.5,1,75,6.1,21.2,10,0
1,14,5,26,20,2,78,7.9,20.8,10,0
1,14,5,26,20.5,1,78,7.9,20.8,10,0
1,14,5,26,21,2,79,6.2,20.5,10,0
1,14,5,26,21.5,1,79,6.2,20.5,10,0
1,14,5,26,22,2,86,5.9,19.6,10,1.5
1,14,5,26,22.5,1,86,5.9,19.6,10,1.5
1,14,5,26,23,2,89,4.5,19.2,10,3
1,14,5,26,23.5,1,89,4.5,19.2,10,3
1,14,5,26,24,2,89,5.4,18.7,10,3
1,14,5,27,0.5,1,89,5.4,18.7,10,3
1,14,5,27,1,2,90,3.5,18.4,10,3
1,14,5,27,1.5,1,90,3.5,18.4,10,3
1,14,5,27,2,2,91,0.9,18,10,3
1,14,5,27,2.5,1,91,0.9,18,10,3
1,14,5,27,3,2,93,0.1,17.7,10,5.5
1,14,5,27,3.5,1,93,0.1,17.7,10,5.5
1,14,5,27,4,2,95,1.6,18.2,10,6.5
1,14,5,27,4.5,1,95,1.6,18.2,10,6.5
1,14,5,27,5,2,95,2,18.2,10,2.5
1,14,5,27,5.5,1,95,2,18.2,10,2.5
1,14,5,27,6,2,94,3.2,18.5,10,0
1,14,5,27,6.5,1,94,3.2,18.5,10,0
1,14,5,27,7,2,95,3.1,18.5,10,0.5
1,14,5,27,7.5,1,95,3.1,18.5,10,0.5
1,14,5,27,8,2,93,4.3,18.7,10,0.5
1,14,5,27,8.5,1,93,4.3,18.7,10,0.5
1,14,5,27,9,2,90,3.5,19.3,10,0
1,14,5,27,9.5,1,90,3.5,19.3,10,0
1,14,5,27,10,2,83,3.7,20.9,10,0
1,14,5,27,10.5,1,83,3.7,20.9,10,0
1,14,5,27,11,2,78,3.7,21.9,10,0
1,14,5,27,11.5,1,78,3.7,21.9,10,0
1,14,5,27,12,2,70,2.9,23.7,10,0
1,14,5,27,12.5,1,70,2.9,23.7,10,0
1,14,5,27,13,2,63,3.7,24.7,10,0
1,14,5,27,13.5,1,63,3.7,24.7,10,0
1,14,5,27,14,2,63,1.9,25.5,10,0
1,14,5,27,14.5,1,63,1.9,25.5,10,0
1,14,5,27,15,2,61,1.6,26.3,10,0
1,14,5,27,15.5,1,61,1.6,26.3,10,0
1,14,5,27,16,2,62,0.8,25.8,10,0
1,14,5,27,16.5,1,62,0.8,25.8,10,0
1,14,5,27,17,2,67,3.3,24.8,10,0
1,14,5,27,17.5,1,67,3.3,24.8,10,0
1,14,5,27,18,2,69,3.5,24,10,0
1,14,5,27,18.5,1,69,3.5,24,10,0
1,14,5,27,19,2,70,2.1,23.5,10,0
1,14,5,27,19.5,1,70,2.1,23.5,10,0
1,14,5,27,20,2,74,2,22.8,10,0
1,14,5,27,20.5,1,74,2,22.8,10,0
1,14,5,27,21,2,76,3.5,21.5,10,0
1,14,5,27,21.5,1,76,3.5,21.5,10,0
1,14,5,27,22,2,81,3,21.5,10,0
1,14,5,27,22.5,1,81,3,21.5,10,0
1,14,5,27,23,2,83,3.3,21.1,10,0
1,14,5,27,23.5,1,83,3.3,21.1,10,0
1,14,5,27,24,2,84,1.4,20.6,10,0
1,14,5,28,0.5,1,84,1.4,20.6,10,0
1,14,5,28,1,2,85,1.2,20.4,10,0
1,14,5,28,1.5,1,85,1.2,20.4,10,0
1,14,5,28,2,2,85,0.9,20.5,10,0
1,14,5,28,2.5,1,85,0.9,20.5,10,0
1,14,5,28,3,2,85,1.2,20.4,10,0
1,14,5,28,3.5,1,85,1.2,20.4,10,0
1,14,5,28,4,2,84,1.8,20.2,10,0
1,14,5,28,4.5,1,84,1.8,20.2,10,0
1,14,5,28,5,2,84,1.1,19.9,10,0
1,14,5,28,5.5,1,84,1.1,19.9,10,0
1,14,5,28,6,2,83,1.7,20.2,9,0
1,14,5,28,6.5,1,83,1.7,20.2,9,0
1,14,5,28,7,2,80,0.6,21.2,9,0
1,14,5,28,7.5,1,80,0.6,21.2,9,0
1,14,5,28,8,2,79,1.1,21.3,9,0
1,14,5,28,8.5,1,79,1.1,21.3,9,0
1,14,5,28,9,2,77,1.5,22,10,0
1,14,5,28,9.5,1,77,1.5,22,10,0
1,14,5,28,10,2,74,2.5,22.8,10,0
1,14,5,28,10.5,1,74,2.5,22.8,10,0
1,14,5,28,11,2,66,3.8,24.4,10,0
1,14,5,28,11.5,1,66,3.8,24.4,10,0
1,14,5,28,12,2,50,5,25.7,5,0
1,14,5,28,12.5,1,50,5,25.7,5,0
1,14,5,28,13,2,45,5.2,26.8,5,0
1,14,5,28,13.5,1,45,5.2,26.8,5,0
1,14,5,28,14,2,48,5.2,26.8,5,0
1,14,5,28,14.5,1,48,5.2,26.8,5,0
1,14,5,28,15,2,54,5.2,25.9,10,0
1,14,5,28,15.5,1,54,5.2,25.9,10,0
1,14,5,28,16,2,55,5,25.9,10,0
1,14,5,28,16.5,1,55,5,25.9,10,0
1,14,5,28,17,2,45,5.1,25.5,10,0
1,14,5,28,17.5,1,45,5.1,25.5,10,0
1,14,5,28,18,2,67,4.3,23.7,10,0
1,14,5,28,18.5,1,67,4.3,23.7,10,0
1,14,5,28,19,2,68,3.4,22.8,10,0
1,14,5,28,19.5,1,68,3.4,22.8,10,0
1,14,5,28,20,2,72,3.2,22.3,10,0
1,14,5,28,20.5,1,72,3.2,22.3,10,0
1,14,5,28,21,2,78,1.7,21.9,10,0
1,14,5,28,21.5,1,78,1.7,21.9,10,0
1,14,5,28,22,2,79,2.4,21.7,10,0
1,14,5,28,22.5,1,79,2.4,21.7,10,0
1,14,5,28,23,2,79,2.6,21.5,10,0
1,14,5,28,23.5,1,79,2.6,21.5,10,0
1,14,5,28,24,2,79,2.5,21,10,0
1,14,5,29,0.5,1,79,2.5,21,10,0
1,14,5,29,1,2,77,1.9,20.9,10,0
1,14,5,29,1.5,1,77,1.9,20.9,10,0
1,14,5,29,2,2,78,2.7,20.4,10,0
1,14,5,29,2.5,1,78,2.7,20.4,10,0
1,14,5,29,3,2,80,1.4,20.2,0,0
1,14,5,29,3.5,1,80,1.4,20.2,0,0
1,14,5,29,4,2,82,1.9,19.7,0,0
1,14,5,29,4.5,1,82,1.9,19.7,0,0
1,14,5,29,5,2,84,1.1,19.6,0,0
1,14,5,29,5.5,1,84,1.1,19.6,0,0
1,14,5,29,6,2,81,1.6,20.5,0,0
1,14,5,29,6.5,1,81,1.6,20.5,0,0
1,14,5,29,7,2,76,0.6,21.5,0,0
1,14,5,29,7.5,1,76,0.6,21.5,0,0
1,14,5,29,8,2,76,1.7,22,0,0
1,14,5,29,8.5,1,76,1.7,22,0,0
1,14,5,29,9,2,71,1.3,23,9,0
1,14,5,29,9.5,1,71,1.3,23,9,0
1,14,5,29,10,2,66,2.2,24.4,9,0
1,14,5,29,10.5,1,66,2.2,24.4,9,0
1,14,5,29,11,2,61,3.6,25.3,9,0
1,14,5,29,11.5,1,61,3.6,25.3,9,0
1,14,5,29,12,2,61,3.8,26,1,0
1,14,5,29,12.5,1,61,3.8,26,1,0
1,14,5,29,13,2,48,3.3,26.9,1,0
1,14,5,29,13.5,1,48,3.3,26.9,1,0
1,14,5,29,14,2,51,4.2,26.3,1,0
1,14,5,29,14.5,1,51,4.2,26.3,1,0
1,14,5,29,15,2,55,4.3,25.9,10,0
1,14,5,29,15.5,1,55,4.3,25.9,10,0
1,14,5,29,16,2,56,2.3,25.5,10,0
1,14,5,29,16.5,1,56,2.3,25.5,10,0
1,14,5,29,17,2,52,2.9,25.4,10,0
1,14,5,29,17.5,1,52,2.9,25.4,10,0
1,14,5,29,18,2,56,1.6,25,1,0
1,14,5,29,18.5,1,56,1.6,25,1,0
1,14,5,29,19,2,59,2.9,24.1,1,0
1,14,5,29,19.5,1,59,2.9,24.1,1,0
1,14,5,29,20,2,69,2.7,23.1,1,0
1,14,5,29,20.5,1,69,2.7,23.1,1,0
1,14,5,29,21,2,69,2,22.7,0,0
1,14,5,29,21.5,1,69,2,22.7,0,0
1,14,5,29,22,2,72,1.9,22.4,0,0
1,14,5,29,22.5,1,72,1.9,22.4,0,0
1,14,5,29,23,2,75,1.9,21.5,0,0
1,14,5,29,23.5,1,75,1.9,21.5,0,0
1,14,5,29,24,2,77,2.1,21,0,0
1,14,5,30,0.5,1,77,2.1,21,0,0
1,14,5,30,1,2,81,0.9,20.5,0,0
1,14,5,30,1.5,1,81,0.9,20.5,0,0
1,14,5,30,2,2,83,1.6,20.1,0,0
1,14,5,30,2.5,1,83,1.6,20.1,0,0
1,14,5,30,3,2,72,2.4,21.2,6,0
1,14,5,30,3.5,1,72,2.4,21.2,6,0
1,14,5,30,4,2,76,0.9,20.5,6,0
1,14,5,30,4.5,1,76,0.9,20.5,6,0
1,14,5,30,5,2,65,1,20.8,6,0
1,14,5,30,5.5,1,65,1,20.8,6,0
1,14,5,30,6,2,62,0.9,21.1,10,0
1,14,5,30,6.5,1,62,0.9,21.1,10,0
1,14,5,30,7,2,56,0.7,22.3,10,0
1,14,5,30,7.5,1,56,0.7,22.3,10,0
1,14,5,30,8,2,51,0.7,23.9,10,0
1,14,5,30,8.5,1,51,0.7,23.9,10,0
1,14,5,30,9,2,51,1.1,25.4,10,0
1,14,5,30,9.5,1,51,1.1,25.4,10,0
1,14,5,30,10,2,52,3.6,26.6,10,0
1,14,5,30,10.5,1,52,3.6,26.6,10,0
1,14,5,30,11,2,54,2.9,26.4,10,0
1,14,5,30,11.5,1,54,2.9,26.4,10,0
1,14,5,30,12,2,50,2.9,26.9,10,0
1,14,5,30,12.5,1,50,2.9,26.9,10,0
1,14,5,30,13,2,53,5.3,28.3,10,0
1,14,5,30,13.5,1,53,5.3,28.3,10,0
1,14,5,30,14,2,46,4.8,28.4,10,0
1,14,5,30,14.5,1,46,4.8,28.4,10,0
1,14,5,30,15,2,46,4.9,27.9,8,0
1,14,5,30,15.5,1,46,4.9,27.9,8,0
1,14,5,30,16,2,53,4.8,27.1,8,0
1,14,5,30,16.5,1,53,4.8,27.1,8,0
1,14,5,30,17,2,60,4.3,26.2,8,0
1,14,5,30,17.5,1,60,4.3,26.2,8,0
1,14,5,30,18,2,66,4.6,24.9,7,0
1,14,5,30,18.5,1,66,4.6,24.9,7,0
1,14,5,30,19,2,71,2.4,24.6,7,0
1,14,5,30,19.5,1,71,2.4,24.6,7,0
1,14,5,30,20,2,70,2.6,24.2,7,0
1,14,5,30,20.5,1,70,2.6,24.2,7,0
1,14,5,30,21,2,72,2.9,23.5,0,0
1,14,5,30,21.5,1,72,2.9,23.5,0,0
1,14,5,30,22,2,76,2.7,22.7,0,0
1,14,5,30,22.5,1,76,2.7,22.7,0,0
1,14,5,30,23,2,81,2.5,22.1,0,0
1,14,5,30,23.5,1,81,2.5,22.1,0,0
1,14,5,30,24,2,84,2.7,21.6,0,0
1,14,5,31,0.5,1,84,2.7,21.6,0,0
1,14,5,31,1,2,82,1,21.6,0,0
1,14,5,31,1.5,1,82,1,21.6,0,0
1,14,5,31,2,2,85,0.9,20.9,0,0
1,14,5,31,2.5,1,85,0.9,20.9,0,0
1,14,5,31,3,2,82,1.1,21.2,0,0
1,14,5,31,3.5,1,82,1.1,21.2,0,0
1,14,5,31,4,2,87,0.4,20.5,0,0
1,14,5,31,4.5,1,87,0.4,20.5,0,0
1,14,5,31,5,2,84,1.5,21.4,0,0
1,14,5,31,5.5,1,84,1.5,21.4,0,0
1,14,5,31,6,2,83,1.7,21.4,7,0
1,14,5,31,6.5,1,83,1.7,21.4,7,0
1,14,5,31,7,2,77,1.9,23,7,0
1,14,5,31,7.5,1,77,1.9,23,7,0
1,14,5,31,8,2,66,2.5,24.6,7,0
1,14,5,31,8.5,1,66,2.5,24.6,7,0
1,14,5,31,9,2,52,2.3,26.7,0,0
1,14,5,31,9.5,1,52,2.3,26.7,0,0
1,14,5,31,10,2,45,1.2,28.2,0,0
1,14,5,31,10.5,1,45,1.2,28.2,0,0
1,14,5,31,11,2,40,1.6,30,0,0
1,14,5,31,11.5,1,40,1.6,30,0,0
1,14,5,31,12,2,38,1.3,30.6,0,0
1,14,5,31,12.5,1,38,1.3,30.6,0,0
1,14,5,31,13,2,39,3.4,31.2,0,0
1,14,5,31,13.5,1,39,3.4,31.2,0,0
1,14,5,31,14,2,36,3.9,30.3,0,0
1,14,5,31,14.5,1,36,3.9,30.3,0,0
1,14,5,31,15,2,31,4.8,29.8,1,0
1,14,5,31,15.5,1,31,4.8,29.8,1,0
1,14,5,31,16,2,30,4.3,30.2,1,0
1,14,5,31,16.5,1,30,4.3,30.2,1,0
1,14,5,31,17,2,31,4.4,30.2,1,0
1,14,5,31,17.5,1,31,4.4,30.2,1,0
1,14,5,31,18,2,47,4.5,28.5,2,0
1,14,5,31,18.5,1,47,4.5,28.5,2,0
1,14,5,31,19,2,56,3.3,26.2,2,0
1,14,5,31,19.5,1,56,3.3,26.2,2,0
